negative_word,negative_word_id,positive_word,positive_word_id,order,uuid
ぼうっとしている,e91c6847-c3c9-4a08-86c3-da916c29c08a,穏やか,913c84de-d73d-48fd-9220-03f1bf90383b,1,29ed7060-ba6d-4b91-8f6b-deab2b86a726
ぼうっとしている,e91c6847-c3c9-4a08-86c3-da916c29c08a,細かいことにこだわらない,e170bec2-020e-47c3-a6bc-90f62472c388,2,2a3344b7-ec0c-484f-b263-a44901e3e128
負けず嫌い,95e34433-13c0-4512-9a6d-d3dd0cb00d9e,向上心がある,a0fe8ff3-947b-436f-9d8f-35ec44215d59,,3e954dc8-ec8a-461b-b00a-4c9ef0fb5711
周りを気にしすぎ,75a7c2fd-5cd6-4b33-bcbd-c48157fb18ec,心配りができる,a16de6b4-1ea0-46b8-9f32-73b390ce19a9,,081b3962-ae07-417e-890e-3cece2228eb7
ミーハー,8244d3d9-12a3-44ad-baae-b7b2530e4dfa,流行に敏感,939f8fb4-14e5-4e30-a069-de5f8fb077ea,,292aaa62-f588-48b6-8a06-0350a1ed8952
みえみえ,4cb3fc83-9840-490c-8d4e-910f012e338b,裏表がない,4accffe3-5e29-47be-9a0e-9fc9efd9ef13,,98220b45-7da3-4865-84fb-1b7e90677e7d
未熟,e310690c-c67e-4947-b8a5-a56eddac0c8c,可能性を秘めている,cd7e8291-7e29-4913-96f5-e62f885e1ccc,,9206f4c0-9bcd-4f53-9cb6-3368ad20db5d
無口,d4a3b4bc-0144-450a-9a06-7550419c7e56,穏やかな,afe80934-1ce9-4683-88a9-131e9f41be8d,2,dd75dc5b-cf53-449e-be84-6acf3908d521
無口,d4a3b4bc-0144-450a-9a06-7550419c7e56,話をよく聞く,245f6ee7-f7d3-48aa-9294-b2c08f76378f,1,c1550418-6176-4222-815e-15e3af475309
向うみず,431b9bc3-adb4-439e-a93c-241567ed056c,行動的な,76300d1e-9fe0-4263-9436-83b5ec6bf75f,2,1fefd178-77f0-42ee-905e-78f7dd614066
向うみず,431b9bc3-adb4-439e-a93c-241567ed056c,思い切りがいい,42b03024-6d32-4646-bbb5-ed4d0c041a8f,1,5ab5cba7-f919-4228-85b2-05abe5235482
無節操,453402a5-23f5-4860-8b26-8d86c13e6c87,キャパが広い,6a26cef4-3e4e-485f-b3a2-5f2b503518b3,,165b2250-1674-4fa9-bea6-9bc71e27b623
無駄使い,8ac6f4c2-2cb5-4659-87da-493b9c2d6f9d,太っ腹,73eaf61a-13a3-434f-9a76-b479adb1ea0f,,0079aa97-f6a6-4132-9559-9e42e734f5d3
無理をしがち,dd01464b-06a0-4095-8f50-dbc5fb864e00,期待に応えようとする,b33bb9fb-f3af-4165-8957-11aa5adb6251,2,e1a5b811-50f0-4417-b20a-e85ba27040f7
無理をしがち,dd01464b-06a0-4095-8f50-dbc5fb864e00,協調性がある,f61fdab4-6738-4a84-ba15-6ba22babd58e,1,30fde3b4-2735-4628-9158-45a63c991314
群れたがり,8d505434-37a5-4db4-8b73-2c5c42571575,協調性がある,f61fdab4-6738-4a84-ba15-6ba22babd58e,,6c686c74-21bd-4aff-a498-8b1edc4dcc5b
命令しがち,1e0ea338-6e52-4266-9d2c-261437e87865,リーダーシップがある,5b97550d-1541-4057-a1be-da3ec4e77c86,,e4e9380b-1f46-4165-aaa2-af98d643c15a
目立ちたがり,5027ac57-c9f9-413d-82c5-375baffb06ca,自己表現が豊かな,b119770b-b46f-4c02-8221-652624e4278c,,ee25050e-ae3f-4bbb-abe7-ad486475267e
めんどうくさがり,2bab87b5-daf5-4149-82f2-e073d5b6c696,おおらか,4bccb9ca-ae84-4061-b5a6-4884d2b20181,1,c0d74c2f-fa7e-4561-93d7-ec2c878d1bd3
めんどうくさがり,2bab87b5-daf5-4149-82f2-e073d5b6c696,慎重,57afb201-2392-4d4e-9778-a6ad4ebcb743,2,1b4dc346-350b-40d6-bcfd-a6505164abec
妄想がある,982c2540-a1be-470c-a824-ea4b51f35847,ロマンチスト,a29b7976-752e-413a-9b35-73694e6b10c6,,c2040bc6-c474-4ab4-b7ee-0de268a811c2
優柔不断,8183a350-c9b7-4a5a-aa97-e546c8a1982a,思慮深い,5c40a0be-bd3c-4f42-8849-60833477a95d,,f5bf1b4b-7f43-4853-a33d-230632a0a78b
融通が利かない,26ab6a1d-7a6c-42e5-af35-ebe7f71fa916,計画的,1a7b452d-aa53-4b74-83d9-7201c994f985,,7ac6b801-b761-4afa-9dec-45ddebe0ab89
夢がない,af833e60-f42a-446a-86b2-198662145f35,現実的,8d2c9182-0075-4ddd-b908-d7ce0143cb1b,,7e74e24d-7e5c-4491-8c4a-34a5f1ea4675
よく考えない,2cd3709c-5fc5-4d7c-9f75-0ee5b6a41575,思い切りがいい,42b03024-6d32-4646-bbb5-ed4d0c041a8f,1,f96530d2-b696-4575-ac1d-dc5007d6c67d
よく考えない,2cd3709c-5fc5-4d7c-9f75-0ee5b6a41575,思い切りがいい,42b03024-6d32-4646-bbb5-ed4d0c041a8f,2,13c3a344-072b-45fe-9a64-b7ef599f5ba4
乱暴,fb3b5bbf-df50-4728-90b0-0f98b178560e,たくましい,49707bc5-508a-4049-b13f-92511545bd16,1,e11d3eeb-b8d4-4d70-8f83-c5fb295c3c46
理屈っぽい,7d2a71ef-0559-4669-aa06-6d54c13fb081,論理的,c0a22b16-a779-41ab-a0c6-d9f25532e06f,,f4851208-e96c-48ca-b7d3-3abfb1fe88f0
浪費家,da693373-8e29-4b70-92ae-8b2022325270,太っ腹,73eaf61a-13a3-434f-9a76-b479adb1ea0f,,9b9ca61d-26c9-438d-a0b3-3d18f71b2748
