content,kana,uuid
向うみず,むこうみず,431b9bc3-adb4-439e-a93c-241567ed056c
無節操,むせっそう,453402a5-23f5-4860-8b26-8d86c13e6c87
無駄使い,むだづかい,8ac6f4c2-2cb5-4659-87da-493b9c2d6f9d
無理をしがち,むりをしがち,dd01464b-06a0-4095-8f50-dbc5fb864e00
群れたがり,むれたがり,8d505434-37a5-4db4-8b73-2c5c42571575
命令しがち,めいれいしがち,1e0ea338-6e52-4266-9d2c-261437e87865
目立ちたがり,めだちたがり,5027ac57-c9f9-413d-82c5-375baffb06ca
めんどうくさがり,めんどうくさがり,2bab87b5-daf5-4149-82f2-e073d5b6c696
妄想がある,もうそうがある,982c2540-a1be-470c-a824-ea4b51f35847
優柔不断,ゆうじゅうふだん,8183a350-c9b7-4a5a-aa97-e546c8a1982a
融通が利かない,ゆうずうがきかない,26ab6a1d-7a6c-42e5-af35-ebe7f71fa916
夢がない,ゆめがない,af833e60-f42a-446a-86b2-198662145f35
よく考えない,よくかんがえない,2cd3709c-5fc5-4d7c-9f75-0ee5b6a41575
乱暴,らんぼう,fb3b5bbf-df50-4728-90b0-0f98b178560e
理屈っぽい,りくつっぽい,7d2a71ef-0559-4669-aa06-6d54c13fb081
浪費家,ろうひか,da693373-8e29-4b70-92ae-8b2022325270
